Date and time[ms]; Stamp; Direction[In, Out, Undefined]; Source; Destination; Message Id; Length; Status for Tx; Data;
21_04_30 21:17:44.740;275;I;1A;1;1DAB;174;;030000000005000000010000022a920700030000000100020000920900030000000100000000920a00050000000100000232927c0007000001520000023aa00000070000000430313030a00100030000000100010000a00200040000000100000cd0a003000400000001000009a0a0050004000000010000038ca40200030000000100000000a40300030000000100000000000000000000015e000f424000004e2000002710323032313a30343a
21_04_30 21:17:45.726;276;I;1A;1;1DAB;174;;0400000033302030363a33363a303000323032313a30343a33302030363a33363a30300000af2d25000f424000004e20000027100000011e0000006400004e2000002710000076b60000271065763d2d31206d6c75783d2d31206578703d3335302061673d34363920666f6375733d323535206761696e5f723d312e303937206761696e5f623d312e32333420677265656e6e6573733d302063636d3d363734382c2d323137342c2d3437342c2d
21_04_30 21:17:46.727;277;I;1A;1;1DAB;174;;05000000313438322c373033322c2d313434382c3337382c2d323931362c363633382c302c302c30206d643d302074673d32353320323533206f74683d30203020623d3020663d323533203235332066693d3020495350204275696c6420446174653a204d617920203120323032302c2031383a30313a32332056435f4255494c445f49445f56455253494f4e3a2036383861386638663364383465373838663037663533633933363933653137
21_04_30 21:17:47.767;278;I;1A;1;1DAB;174;;060000003035663638633430372028636c65616e292056435f4255494c445f49445f555345523a20646f6d2056435f4255494c445f49445f4252414e43483a2062636d323731315f32200001000100020000000452393800000000000008010000040000000100000400010100040000000100000300010300030000000100060000011a00050000000100000404011b0005000000010000040c0128000300000001000200000201000400000001
21_04_30 21:17:48.681;279;I;5;1;F204;115;;84dc9e2437c105000000803f4409832d6ee4aaadcd8cafaa3eb4552d619c93addeac7aaa8584dc9e2437c10500a5e0083f2b58063ec89ba03ec30c46bf0f9bb0ad8edbb0ac8aa881ab8584dc9e2437c105000000803f00000000000000000000000000000000000000000000000083ffffffff
21_04_30 21:17:49.693;280;I;1A;1;1DAB;174;;07000000000004140202000400000001000060000000000000000048000000010000004800000001ffd8ffdb0084003222262c261f322c292c3835323b4b7d514b45454b996d745b7db59fbfbcb29fafacc8e1fff4c8d5ffd8acaffafffdffffffffffffc2f1ffffffffffffffffff013538384b424b93515193ffceafceffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
21_04_30 21:17:50.641;281;I;1A;1;1DAB;174;;08000000ffffffc00011080300040003012200021101031101ffc401a20000010501010101010100000000000000000102030405060708090a0b100002010303020403050504040000017d01020300041105122131410613516107227114328191a1082342b1c11552d1f02433627282090a161718191a25262728292a3435363738393a434445464748494a535455565758595a636465666768696a737475767778797a838485868788898a9293
21_04_30 21:17:51.637;282;I;1A;1;1DAB;174;;090000009495969798999aa2a3a4a5a6a7a8a9aab2b3b4b5b6b7b8b9bac2c3c4c5c6c7c8c9cad2d3d4d5d6d7d8d9dae1e2e3e4e5e6e7e8e9eaf1f2f3f4f5f6f7f8f9fa0100030101010101010101010000000000000102030405060708090a0b1100020102040403040705040400010277000102031104052131061241510761711322328108144291a1b1c109233352f0156272d10a162434e125f11718191a262728292a35363738393a434445
21_04_30 21:17:52.603;283;I;1A;1;1DAB;174;;0a000000464748494a535455565758595a636465666768696a737475767778797a82838485868788898a92939495969798999aa2a3a4a5a6a7a8a9aab2b3b4b5b6b7b8b9bac2c3c4c5c6c7c8c9cad2d3d4d5d6d7d8d9dae2e3e4e5e6e7e8e9eaf2f3f4f5f6f7f8f9faffda000c03010002110311003f00cba28a2800a28a2800a28a2800a28a2800a28a2800a28a2800a28a2800a5a28a0028a28a002969296800a28a5a0028a29681851452d001
21_04_30 21:17:53.587;284;I;1A;1;1DAB;174;;0b00000045145001451450014b45140828a28a0028a28a0028a28a0028a28a0028a28a0028a28a0028a4a5a004a28a2800a292933400b466929280168a4a2800a28a2800a28a2800a28a5a004a2968a004a5a28a0028a28a0028a28c50014518a31400514b8a314009453b14b81eb400ca2948a4c50014518a3140051451400514514005252d14009452d14009452d140094514500145145002d14945003b3466928a063f34669b466900fa5a6e6
