Date and time[ms],Stamp,"Direction[In, Out, Undefined]",Source,Destination,Message Id,Length,Status for Tx,Data
21_04_29 21:18:14.358,70,I,2,1,4216,66,00000000,ad133815dd1477000000000018000000190000000000070006000600070000200000e41e1ba9000091228b605a040d0d9c9d1e19720e92228b60b8fa01002500fc1e
21_04_29 21:18:14.358,71,I,2,1,4217,81,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_29 21:18:17.462,69,O,1,2,  71,274,ERR,0800a7228b60710001000400040001001e00a8228b60770001000400040001001e00a9228b60750001000400040001001e00b0228b6070f0010005005c000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005b2228b6033f00100050048008fc2f53ccdcc4c3e000000000000803f00000000000000000000803f0024744a0604a00f6f12833abd37863770fffb3c463ea017a63ed9cef73d6891edbcb80bd007030000030a00b4228b60600a010005000000b6228b602a00010004000000b9228b602a00010004000000
21_04_29 21:18:22.804,73,O,1,2,  71,274,ERR,0800ac228b60710001000400040001001e00ad228b60770001000400040001001e00ae228b60750001000400040001001e00b5228b6070f0010005005c000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005b7228b6033f00100050048008fc2f53ccdcc4c3e000000000000803f00000000000000000000803f0024744a0604a00f6f12833abd37863770fffb3c463ea017a63ed9cef73d6891edbcb80bd007030000030a00b9228b60600a010005000000bb228b602a00010004000000be228b602a00010004000000
21_04_29 21:18:28.463,75,O,1,2,  71,274,ERR,0800b2228b60710001000400040001001e00b3228b60770001000400040001001e00b4228b60750001000400040001001e00bb228b6070f0010005005c000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005bd228b6033f00100050048008fc2f53ccdcc4c3e000000000000803f00000000000000000000803f0024744a0604a00f6f12833abd37863770fffb3c463ea017a63ed9cef73d6891edbcb80bd007030000030a00bf228b60600a010005000000c1228b602a00010004000000c4228b602a00010004000000
21_04_29 21:18:43.010,78,I,2,1,4216,66,00000000,83130315a9127b0000000000160000001d0000000000070007000600070000200000e81e25a90000af228b605a040e0d019f1e19720eb0228b60d6fa01001a00fc1e
21_04_29 21:18:43.010,79,I,2,1,4217,81,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_29 21:18:45.307,77,O,1,2,  71,250,ERR,0600c3228b60710001000400040001001e00c4228b60770001000400040001001e00c5228b60750001000400040001001e00cc228b6070f0010005005c000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005ce228b6033f00100050048008fc2f53ccdcc4c3e000000000000803f00000000000000000000803f0024744a0604a00f6f12833abd37863770fffb3c463ea017a63ed9cef73d6891edbcb80bd007030000030a00d0228b60600a010005000000
21_04_29 21:19:04.290,0,O,1,2,  77,218,ERR,0400d6228b60770001000400040001001e00dd228b6070f0010005005c000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005df228b6033f00100050048008fc2f53ccdcc4c3e000000000000803f00000000000000000000803f0024744a0604a00f6f12833abd37863770fffb3c463ea017a63ed9cef73d6891edbcb80bd007030000030a00e1228b60600a010005000000
21_04_29 21:19:09.675,86,O,1,2,  77,218,ERR,0400db228b60770001000400040001001e00e2228b6070f0010005005c000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005e4228b6033f00100050048008fc2f53ccdcc4c3e000000000000803f00000000000000000000803f0024744a0604a00f6f12833abd37863770fffb3c463ea017a63ed9cef73d6891edbcb80bd007030000030a00e6228b60600a010005000000
21_04_29 21:19:13.699,89,I,2,1,4216,66,00000000,b20fc114a614a70000000000020000001b0000000000080007000700070000300000e41e2fa90000cd228b605a040f0d9f9f1e19720ece228b60f4fa01001a00fc1e
21_04_29 21:19:13.699,90,I,2,1,4217,81,00000000,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
21_04_29 21:19:19.791,0,O,1,2,F070,202,ERR,0300e8228b6070f0010005005c000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005ea228b6033f00100050048008fc2f53ccdcc4c3e000000000000803f00000000000000000000803f0024744a0604a00f6f12833abd37863770fffb3c463ea017a63ed9cef73d6891edbcb80bd007030000030a00ec228b60600a010005000000
21_04_29 21:19:43.045,93,I,2,1,4216,66,00000000,82119e145e144f0000001e000d0000001c0000000000080007000700080000200000e81e39a90000eb228b605a040f0e018b1e19720eec228b6012fb01001a00fc1e
